item,day
Sham gadde,8
Byladha Hannu,8
Apple Golden delicious,22
Apple Green smith,14
Apple hazarath palli,20
Amla,9
Rice Bran 5 lt,122
N.Juice 200 ml,2
Pomegranate Juice,16
Brahmi amla juice,3
Safal deep 500 ml,12
Ground nut oil 5 lt,266
Sungold oil 5 lt,335
Orange South Africa,23
Pomegranate,19
Pomegranate Bhagav,15
Grapes Red globe,6
Grapes T.S.,5
Cauliflower(B),8
Cabbage chaina,8
Apple juice,17
Litchi Juice,3
Parsley,9
Leeks,8
Baby corn,14
Cauliflower(M),13
Chillies Bajji yagani,5
Chilakarive green,14
G. nut Golden oil 1 lt,194
G. nut oil safal deep1 lt,199
G. nut oil Rice 1 lt,165
Jukani,14
Mango Raw,9
Mango Raw Amblet,7
Lime Local,19
Little gourd,13
Ladys finger,13
Tamrind Chatisghar,8
Tender Coconut(M),7
Mango Amarpalli,10
Mango Kesar,6
Mango Langada,8
Grapes Sonika,5
Grapes Rose,6
Grapes Sharad,6
Onion flowers,27
Letteus Greens,2
Bale hoovu(B.flower),10
Tamarind seedless,19
Chillies Cleaned,9
Chillies Bajji,12
Chillies small (C.B.P),10
Apple Newzeland,21
Apple Australia,14
Apple Fuji chaina,16
Jumbu juice,3
South Af.red berry,6
Nagapur Orange Economy,12
Pickles mixed veg,202
Tamarind Paste 150 gm,141
Gulkan 1/4 kg,152
Gulkan 1/2 kg,150
Gulkan 1 kg,117
Guava,6
Chicco(Sapota),10
Custerd Apple,11
Indian red globe,9
Apple Chilli,21
Bread fruit,12
Peas seeds,8
Brinjal Mlore,6
Brinjal Bottle,5
Brinjal (R),9
Honney 100 gm,7
Honney 200 gm,7
Honney 1 Kg,11
Honney 1/2,5
Apple Delicious,19
Apple Simla,23
Malenian apple,14
Apple Premium,15
Washington red apple,22
Apple Washington,24
Apple Economy,14
Raddish,23
Sweet Potato(Genasu),39
Dates seedless,324
Potato Baby,37
Dry fruit mixed,239
Badami,127
Dry apricot,13
S.mellon namdhari (Red),13
Mosambi polo,12
Mosambi,10
S.mellon namdhari,14
Plum Ooty,6
Watermellon,13
Watermellon kiran,15
Jam 100 gm,178
Jam 200 gm,134
Jam 1/2 kg,158
Jam 1 kg,140
Tamarind sweet 500gm,18
Rampal,14
Rose apple,11
Pomello/Chakotha,10
Peaches,5
Plum Australia,4
Anjura/Fig,3
Butter fruit,9
Bore fruit,9
Copra,206
Chocolates Drink box,118
Fanda,12
S.mellon Local (Luck),15
Batani kalu,13
Hesaru kalu,5
Molake kalu,12
Onion small(Economy),38
Onion Big,32
Baby corn cleaned,14
Onion medium,20
Mushroom Oyster,2
Thiland Juice,4
Pineapple juice,11
Thiland Jelly,3
Kashini (Ganike) Greens,4
Cucumber white,8
Cluster Beans Bunches,13
Guava Allahabad(Red),8
Grapes Dilkush,5
GrapesAnabi shahi,5
Grapes Blore blue,3
Beet Root,13
Kiwi fruit,5
Komark fruit,14
Jambo fruit(Nerale),152
Mango mallika,7
Mango malagova,7
Mango Bygan palli,11
Bottle Gourd,6
Bitter Gourd,11
Yam/S.Root,31
Berry ball,4
Berry Golden,5
Berry Southafrica,5
Pickles,198
Rice Bran 15 lt Tin,251
G. nut sungold 1 lt,10
Avarebele (F. Beans spok),14
Avarekai (Field Beans ),13
Mushroom Milky,2
Mushroom Button,2
Lime Bijapur,23
Banana cooking R.Banana,8
Papaya red indian,11
Indian Black globe Grapes,4
Banana Nendra,8
Banana Rasabale,6
Banana karpura,5
Brinjal (W),10
Brinjal long,8
Beans cleaned,6
Beans Fruit,12
Coconut oil 500 ml,309
Stevia powder,162
Pepper,5
Pineapple,22
Papaya sola,8
Papaya Red lady,10
Mango,5
Peas local,12
Peas Delhi,8
Onion samber,43
Grapesh Tash ganesh,5
Chikkadikai cleaned,13
Orange juice,14
Berry Soft,4
Berry fruit Ooty,4
mango Pickles,215
Berry Green,3
Capsicum Red/Yellow,5
Capsicum 1,9
Cluster Bean Local,10
Mangalore cucumber,7
Cucumber Ooty,5
Tender Coconut,6
Straw Berry,5
Litchi Taiwan/chaina,3
Mango Dasheri,10
Mango Neelam,9
Mango thotapuri,6
Mango kalapadu,8
Cucumber Israle,11
Cucumber Nati,5
Cucumber,5
Chow-Chow,8
Lime Pickles,129
Corriander Leave,4
Kakadi,12
Brucoli,13
Avare seed (FB seeds),11
Drumstik,8
Cherry Tomoto,6
Cauliflower per Kg,10
Cauliflower(S),10
Chillies Green,6
Capsicum,11
Sweet corn seeds,5
Litchi Local,4
Banana chandra,9
Banana Yellaki,10
Banana pachabale,7
Pomegranate A.raktha,11
Beans Ring,5
Beans Nati,9
Beans,11
Sungold oil 5 lt packet,157
Sun safal Tin 15 lt,13
Tamarind Paste 450 gm,142
Papaya Taiwan,10
Papaya nati,8
Pomegranate Ganesh,16
Jack fruit,13
Grapes Dry 100gm,4
Grapes Dry 250gm,4
Pumpkin Red,12
Pumpkin Ash,7
Peas Ooty,12
Peas Dharwad,9
Times Rose berry,3
Chilles small cleaned (C.B.P),10
Washington gala apple,17
Cherry kashmir,6
Cherry fruit,6
Ber fruit/Bore fruit,12
Berry Delhi,6
Mineral water 1 lt,7
Net rich 5 lt oil,304
Eggs,4
Arive greens,3
knol-khol,14
Chikadi kai,14
G.oil Net rich 500 ml,265
Fruit Juice Tailand,3
Tender Coco packed,8
Orange Australia,12
Orange Ooty,16
Orange Nagpura,20
Orange,16
Sweet corn,9
Spring Onion(Cleaned),35
Spring Onion,30
Double Beans seeds,7
Herali kai,10
Ginger New,31
Ginger ooty,22
Coconut (M),7
Coconut (B),13
Cowpea Long,11
Chikkadikai Round,7
Mint Leaves,3
Dhantu greens,3
Curry leave,4
Ground nut Local,6
Double Beans,6
Chicco(Sapota) rapined,7
Chillies small (C.B.P),13
Chillies Bajji,8
Chillies Cleaned,11
Tamarind seedless,29
Bale hoovu(B.flower),8
Letteus Greens,2
Onion flowers,28
Grapes Sharad,5
Grapes Rose,6
Grapes Sonika,3
Mango Langada,6
Mango Kesar,7
Mango Amarpalli,10
Tender Coconut(M),14
Tamrind Chatisghar,11
Ladys finger,9
Little gourd,9
Lime Local,18
Mango Raw Amblet,5
Mango Raw,10
Jukani,12
G. nut oil Rice 1 lt,241
G. nut oil safal deep1 lt,248
G. nut Golden oil 1 lt,360
Chilakarive green,13
Chillies Bajji yagani,7
Cauliflower(M),10
Baby corn,8
Leeks,9
Parsley,6
Litchi Juice,4
Apple juice,24
Cabbage chaina,7
Cauliflower(B),11
Grapes T.S.,3
Grapes Red globe,3
Pomegranate Bhagav,12
Pomegranate,21
Orange South Africa,14
Sungold oil 5 lt,129
Ground nut oil 5 lt,218
Safal deep 500 ml,7
Brahmi amla juice,3
Pomegranate Juice,24
N.Juice 200 ml,4
Rice Bran 5 lt,341
Amla,11
Apple hazarath palli,17
Apple Green smith,15
Apple Golden delicious,13
Honney 1/2,11
Honney 1 Kg,11
Honney 200 gm,11
Honney 100 gm,8
Brinjal (R),10
Brinjal Bottle,5
Brinjal Mlore,11
Peas seeds,10
Bread fruit,14
Apple Chilli,12
Indian red globe,12
Custerd Apple,17
Chicco(Sapota),8
Guava,11
Gulkan 1 kg,162
Gulkan 1/2 kg,137
Gulkan 1/4 kg,173
Tamarind Paste 150 gm,121
Pickles mixed veg,123
Nagapur Orange Economy,22
South Af.red berry,4
Jumbu juice,4
Apple Fuji chaina,12
Apple Australia,11
Apple Newzeland,20
Molake kalu,8
Hesaru kalu,13
Batani kalu,6
S.mellon Local (Luck),12
Fanda,12
Chocolates Drink box,98
Copra,297
Bore fruit,14
Butter fruit,14
Anjura/Fig,5
Plum Australia,4
Peaches,5
Pomello/Chakotha,14
Rose apple,13
Rampal,7
Tamarind sweet 500gm,41
Jam 1 kg,94
Jam 1/2 kg,153
Jam 200 gm,136
Jam 100 gm,162
Watermellon kiran,17
Watermellon,24
Plum Ooty,3
S.mellon namdhari,22
Mosambi,12
Mosambi polo,13
S.mellon namdhari (Red),22
Dry apricot,12
Badami,210
Dry fruit mixed,238
Potato Baby,44
Dates seedless,244
Sweet Potato(Genasu),28
Raddish,17
Apple Economy,21
Apple Washington,18
Washington red apple,22
Apple Premium,22
Malenian apple,13
Apple Simla,21
Apple Delicious,24
Banana cooking R.Banana,10
Lime Bijapur,20
Mushroom Button,4
Mushroom Milky,3
Avarekai (Field Beans ),5
Avarebele (F. Beans spok),9
G. nut sungold 1 lt,7
Rice Bran 15 lt Tin,252
Pickles,177
Berry Southafrica,5
Berry Golden,6
Berry ball,4
Yam/S.Root,19
Bitter Gourd,11
Bottle Gourd,8
Mango Bygan palli,5
Mango malagova,5
Mango mallika,9
Jambo fruit(Nerale),125
Komark fruit,14
Kiwi fruit,3
Beet Root,13
Grapes Blore blue,6
GrapesAnabi shahi,6
Grapes Dilkush,6
Guava Allahabad(Red),9
Cluster Beans Bunches,7
Cucumber white,9
Kashini (Ganike) Greens,3
Thiland Jelly,2
Pineapple juice,19
Thiland Juice,2
Mushroom Oyster,2
Onion medium,44
Baby corn cleaned,11
Onion Big,34
Onion small(Economy),40
Litchi Local,5
Sweet corn seeds,5
Capsicum,8
Chillies Green,11
Cauliflower(S),7
Cauliflower per Kg,9
Cherry Tomoto,9
Drumstik,13
Avare seed (FB seeds),10
Brucoli,11
Kakadi,12
Corriander Leave,3
Lime Pickles,353
Chow-Chow,6
Cucumber,6
Cucumber Nati,8
Cucumber Israle,11
Mango kalapadu,9
Mango thotapuri,5
Mango Neelam,11
Mango Dasheri,9
Litchi Taiwan/chaina,4
Straw Berry,6
Tender Coconut,12
Cucumber Ooty,8
Mangalore cucumber,5
Cluster Bean Local,9
Capsicum 1,8
Capsicum Red/Yellow,7
Berry Green,3
mango Pickles,140
Berry fruit Ooty,4
Berry Soft,5
Orange juice,22
Chikkadikai cleaned,12
Grapesh Tash ganesh,6
Onion samber,30
Peas Delhi,8
Peas local,9
Mango,11
Papaya Red lady,9
Papaya sola,9
Pineapple,21
Pepper,11
Stevia powder,226
Coconut oil 500 ml,349
Beans Fruit,14
Beans cleaned,6
Brinjal long,5
Brinjal (W),10
Banana karpura,7
Banana Rasabale,5
Banana Nendra,9
Indian Black globe Grapes,5
Papaya red indian,5
Double Beans,7
Ground nut Local,7
Curry leave,3
Dhantu greens,4
Mint Leaves,2
Chikkadikai Round,11
Cowpea Long,5
Coconut (B),11
Coconut (M),10
Ginger ooty,32
Ginger New,40
Herali kai,7
Double Beans seeds,11
Spring Onion,27
Spring Onion(Cleaned),25
Sweet corn,5
Orange,17
Orange Nagpura,10
Orange Ooty,23
Orange Australia,13
Tender Coco packed,9
Fruit Juice Tailand,3
G.oil Net rich 500 ml,243
Chikadi kai,14
knol-khol,9
Arive greens,4
Eggs,2
Net rich 5 lt oil,290
Mineral water 1 lt,8
Berry Delhi,5
Ber fruit/Bore fruit,9
Cherry fruit,6
Cherry kashmir,3
Washington gala apple,19
Chilles small cleaned (C.B.P),8
Times Rose berry,5
Peas Dharwad,5
Peas Ooty,8
Pumpkin Ash,5
Pumpkin Red,9
Grapes Dry 250gm,3
Grapes Dry 100gm,5
Jack fruit,5
Pomegranate Ganesh,11
Papaya nati,6
Papaya Taiwan,5
Tamarind Paste 450 gm,120
Sun safal Tin 15 lt,9
Sungold oil 5 lt packet,262
Beans,14
Beans Nati,10
Beans Ring,14
Pomegranate A.raktha,13
Banana pachabale,9
Banana Yellaki,10
Banana chandra,7
Orange malt,12
Sweet corn cleaned,11
Sweet corn seeds spok,7
Tomoto,9
Thogari kai,10
Ground nut oil 1 lt,216
G.nut oil Premium1 lt,154
G.nut oil Rice Bron 1 lt,260
Chakota greens,3
Onion pack,27
Potato pack,19
Cabbage,13
Cabbage Red,14
Indian kinora apple,19
South Africa Gala apple,19
Selari,13
Coconut (OS),13
Basale Greens,3
BaleDindu (Banana stem),8
Raddish Red,23
Sponge Gourd,8
Coconut (S),5
Snake Gourd,5
Snake Gourd(S),6
Mango Sendura,10
Mango Badami,279
Mango Alphans,7
Mango Raspuri,5
Chicco(Sapota) rapined,5
Byladha Hannu,8
Sham gadde,10
Carrot ooty,7
Carrot Delhi,6
Carrot Nati,5
Menthya Greens,2
Cowpea Local,11
Ground nut Hybrid,10
Ginger,25
Rumenia Mango,11
Grapes Flame,3
Grapes Krishna sharad,6
Grapes Crimson,3
Mango rathnagiri(red),6
Mango Alphans box,7
Mango sakkaregutti,9
Thinda,13
Dates Arebian,234
Pista,309
Tender Coconut(S),5
Kashini greens,4
Garlic,37
Garlic cleaned,35
Chain Berry,3
Y.Bananan T.N.,8
Maize,12
Greens Sabbakki,4
Palak Greens,4
Parvala,7
Cashew nut,130
Dates,161
Apple Chaina Delicious,14
Dry dates,290
Pumpkin Japan,12
Potato(M),17
Potato(B),28
Potato(S),29
Apple Golden delicious,20
Apple Green smith,22
Apple hazarath palli,17
Amla,12
Rice Bran 5 lt,350
N.Juice 200 ml,3
Pomegranate Juice,24
Brahmi amla juice,2
Safal deep 500 ml,7
Ground nut oil 5 lt,221
Sungold oil 5 lt,210
Orange South Africa,10
Pomegranate,24
Pomegranate Bhagav,21
Grapes Red globe,3
Grapes T.S.,4
Cauliflower(B),11
Cabbage chaina,5
Apple juice,22
Litchi Juice,6
Parsley,7
Leeks,9
Baby corn,8
Cauliflower(M),6
Chillies Bajji yagani,9
Chilakarive green,9
G. nut Golden oil 1 lt,221
G. nut oil safal deep1 lt,271
G. nut oil Rice 1 lt,233
Jukani,13
Mango Raw,8
Mango Raw Amblet,8
Lime Local,19
Little gourd,11
Ladys finger,5
Tamrind Chatisghar,11
Tender Coconut(M),13
Mango Amarpalli,5
Mango Kesar,11
Mango Langada,10
Grapes Sonika,3
Grapes Rose,6
Grapes Sharad,4
Onion flowers,26
Letteus Greens,2
Bale hoovu(B.flower),11
Tamarind seedless,43
Chillies Cleaned,6
Chillies Bajji,11
Chillies small (C.B.P),14
Apple Newzeland,24
Apple Australia,16
Apple Fuji chaina,16
Jumbu juice,4
South Af.red berry,3
Nagapur Orange Economy,19
Pickles mixed veg,224
Tamarind Paste 150 gm,150
Gulkan 1/4 kg,119
Gulkan 1/2 kg,178
Gulkan 1 kg,128
Guava,10
Chicco(Sapota),10
Custerd Apple,18
Indian red globe,12
Apple Chilli,12
Bread fruit,6
Peas seeds,12
Brinjal Mlore,9
Brinjal Bottle,6
Brinjal (R),5
Honney 100 gm,12
Honney 200 gm,5
Honney 1 Kg,13
Honney 1/2,8
Apple Delicious,22
Apple Simla,23
Malenian apple,20
Apple Premium,22
Washington red apple,16
Apple Washington,21
Apple Economy,17
Raddish,42
Sweet Potato(Genasu),29
Dates seedless,253
Potato Baby,20
Dry fruit mixed,187
Badami,280
Dry apricot,7
S.mellon namdhari (Red),16
Mosambi polo,14
Mosambi,10
S.mellon namdhari,15
Plum Ooty,3
Watermellon,23
Watermellon kiran,16
Jam 100 gm,98
Jam 200 gm,104
Jam 1/2 kg,99
Jam 1 kg,106
Tamarind sweet 500gm,21
Rampal,10
Rose apple,17
Pomello/Chakotha,19
Peaches,6
Plum Australia,4
Anjura/Fig,4
Butter fruit,14
Bore fruit,11
Copra,132
Chocolates Drink box,138
Fanda,8
S.mellon Local (Luck),13
Batani kalu,5
Hesaru kalu,9
Molake kalu,7
Onion small(Economy),31
Onion Big,37
Baby corn cleaned,6
Onion medium,31
Mushroom Oyster,4
Thiland Juice,3
Pineapple juice,12
Thiland Jelly,2
Kashini (Ganike) Greens,3
Cucumber white,9
Cluster Beans Bunches,11
Guava Allahabad(Red),6
Grapes Dilkush,4
GrapesAnabi shahi,3
Grapes Blore blue,3
Beet Root,5
Kiwi fruit,4
Komark fruit,7
Jambo fruit(Nerale),112
Mango mallika,9
Mango malagova,8
Mango Bygan palli,7
Bottle Gourd,10
Bitter Gourd,14
Yam/S.Root,34
Berry ball,6
Berry Golden,6
Berry Southafrica,4
Pickles,170
Rice Bran 15 lt Tin,218
G. nut sungold 1 lt,12
Avarebele (F. Beans spok),6
Avarekai (Field Beans ),13
Mushroom Milky,3
Mushroom Button,3
Lime Bijapur,21
Banana cooking R.Banana,6
Papaya red indian,10
Indian Black globe Grapes,4
Banana Nendra,8
Banana Rasabale,6
Banana karpura,11
Brinjal (W),8
Brinjal long,7
Beans cleaned,11
Beans Fruit,13
Coconut oil 500 ml,213
Stevia powder,344
Pepper,8
Pineapple,12
Papaya sola,5
Papaya Red lady,9
Mango,5
Peas local,5
Peas Delhi,10
Onion samber,25
Grapesh Tash ganesh,4
Chikkadikai cleaned,11
Orange juice,23
Berry Soft,6
Berry fruit Ooty,3
mango Pickles,340
Berry Green,3
Capsicum Red/Yellow,8
Capsicum 1,5
Cluster Bean Local,13
Mangalore cucumber,7
Cucumber Ooty,8
Tender Coconut,7
Straw Berry,4
Litchi Taiwan/chaina,5
Mango Dasheri,5
Mango Neelam,6
Mango thotapuri,7
Mango kalapadu,10
Cucumber Israle,7
Cucumber Nati,5
Cucumber,9
Chow-Chow,11
Lime Pickles,299
Corriander Leave,4
Kakadi,8
Brucoli,10
Avare seed (FB seeds),12
Drumstik,13
Cherry Tomoto,11
Cauliflower per Kg,9
Cauliflower(S),9
Chillies Green,8
Capsicum,8
Sweet corn seeds,7
Litchi Local,3
Banana chandra,5
Banana Yellaki,10
Banana pachabale,11
Pomegranate A.raktha,11
Beans Ring,12
Beans Nati,7
Beans,13
Sungold oil 5 lt packet,192
Sun safal Tin 15 lt,6
Tamarind Paste 450 gm,134
Papaya Taiwan,6
Papaya nati,5
Pomegranate Ganesh,22
Jack fruit,7
Grapes Dry 100gm,6
Grapes Dry 250gm,5
Pumpkin Red,9
Pumpkin Ash,8
Peas Ooty,6
Peas Dharwad,5
Times Rose berry,6
Chilles small cleaned (C.B.P),11
Washington gala apple,20
Cherry kashmir,3
Cherry fruit,5
Ber fruit/Bore fruit,11
Berry Delhi,5
Mineral water 1 lt,5
Net rich 5 lt oil,189
Eggs,3
Arive greens,3
knol-khol,9
Chikadi kai,12
G.oil Net rich 500 ml,188
Fruit Juice Tailand,3
Tender Coco packed,6
Orange Australia,21
Orange Ooty,20
Orange Nagpura,13
Orange,13
Sweet corn,6
Spring Onion(Cleaned),40
Spring Onion,25
Double Beans seeds,14
Herali kai,11
Ginger New,16
Ginger ooty,24
Coconut (M),6
Coconut (B),7
Cowpea Long,8
Chikkadikai Round,9
Mint Leaves,2
Dhantu greens,2
Curry leave,3
Ground nut Local,11
Double Beans,11
Chicco(Sapota) rapined,10
Mango Raspuri,5
Mango Alphans,11
Mango Badami,263
Mango Sendura,7
Snake Gourd(S),14
Snake Gourd,9
Coconut (S),11
Sponge Gourd,5
Raddish Red,20
BaleDindu (Banana stem),5
Basale Greens,4
Coconut (OS),8
Selari,11
South Africa Gala apple,18
Indian kinora apple,17
Cabbage Red,7
Cabbage,7
Potato pack,39
Onion pack,31
Chakota greens,2
G.nut oil Rice Bron 1 lt,128
G.nut oil Premium1 lt,160
Ground nut oil 1 lt,187
Thogari kai,9
Tomoto,6
Sweet corn seeds spok,10
Sweet corn cleaned,11
Orange malt,18
Potato(S),36
Potato(B),34
Potato(M),25
Pumpkin Japan,5
Dry dates,188
Apple Chaina Delicious,20
Dates,142
Cashew nut,151
Parvala,8
Palak Greens,2
Greens Sabbakki,4
Maize,14
Y.Bananan T.N.,11
Chain Berry,3
Garlic cleaned,29
Garlic,42
Kashini greens,2
Tender Coconut(S),6
Pista,230
Dates Arebian,129
Thinda,7
Mango sakkaregutti,6
Mango Alphans box,9
Mango rathnagiri(red),6
Grapes Crimson,6
Grapes Krishna sharad,5
Grapes Flame,3
Rumenia Mango,6
Ginger,21
Ground nut Hybrid,5
Cowpea Local,11
Menthya Greens,3
Carrot Nati,5
Carrot Delhi,10
Carrot ooty,6
Sham gadde,14
Byladha Hannu,9
Chillies small (C.B.P),9
Chillies Bajji,6
Chillies Cleaned,12
Tamarind seedless,31
Bale hoovu(B.flower),7
Letteus Greens,4
Onion flowers,21
Grapes Sharad,6
Grapes Rose,4
Grapes Sonika,4
Mango Langada,11
Mango Kesar,6
Mango Amarpalli,9
Tender Coconut(M),13
Tamrind Chatisghar,8
Ladys finger,10
Little gourd,5
Lime Local,13
Mango Raw Amblet,8
Mango Raw,5
Jukani,5
G. nut oil Rice 1 lt,338
G. nut oil safal deep1 lt,191
G. nut Golden oil 1 lt,363
Chilakarive green,5
Chillies Bajji yagani,8
Cauliflower(M),6
Baby corn,9
Leeks,13
Parsley,14
Litchi Juice,4
Apple juice,16
Cabbage chaina,8
Cauliflower(B),6
Grapes T.S.,4
Grapes Red globe,6
Pomegranate Bhagav,19
Pomegranate,23
Orange South Africa,17
Sungold oil 5 lt,240
Ground nut oil 5 lt,213
Safal deep 500 ml,6
Brahmi amla juice,4
Pomegranate Juice,24
N.Juice 200 ml,3
Rice Bran 5 lt,336
Apple hazarath palli,21
Apple Green smith,12
Apple Golden delicious,12
Honney 1/2,6
Honney 1 Kg,12
Honney 200 gm,13
Honney 100 gm,6
Brinjal (R),8
Brinjal Bottle,9
Brinjal Mlore,5
Peas seeds,13
Bread fruit,6
Apple Chilli,17
Indian red globe,6
Custerd Apple,13
Chicco(Sapota),7
Guava,6
Gulkan 1 kg,123
Gulkan 1/2 kg,101
Gulkan 1/4 kg,104
Tamarind Paste 150 gm,147
Pickles mixed veg,306
Nagapur Orange Economy,21
South Af.red berry,4
Jumbu juice,2
Apple Fuji chaina,21
Apple Australia,13
Apple Newzeland,16
Molake kalu,8
Hesaru kalu,12
Batani kalu,14
S.mellon Local (Luck),22
Fanda,11
Chocolates Drink box,159
Copra,140
Bore fruit,9
Butter fruit,13
Anjura/Fig,5
Plum Australia,4
Peaches,6
Pomello/Chakotha,17
Rose apple,12
Rampal,7
Tamarind sweet 500gm,22
Jam 1 kg,162
Jam 1/2 kg,107
Jam 200 gm,105
Jam 100 gm,163
Watermellon kiran,10
Watermellon,21
Plum Ooty,4
S.mellon namdhari,21
Mosambi,7
Mosambi polo,5
S.mellon namdhari (Red),15
Dry apricot,8
Badami,317
Dry fruit mixed,160
Potato Baby,21
Dates seedless,132
Sweet Potato(Genasu),37
Raddish,35
Apple Economy,22
Apple Washington,19
Washington red apple,20
Apple Premium,20
Malenian apple,24
Apple Simla,23
Apple Delicious,15
Banana cooking R.Banana,7
Lime Bijapur,16
Mushroom Button,2
Mushroom Milky,4
Avarekai (Field Beans ),5
Avarebele (F. Beans spok),10
G. nut sungold 1 lt,8
Rice Bran 15 lt Tin,180
Pickles,262
Berry Southafrica,5
Berry Golden,3
Berry ball,3
Yam/S.Root,18
Bitter Gourd,14
Bottle Gourd,9
Mango Bygan palli,11
Mango malagova,5
Mango mallika,11
Jambo fruit(Nerale),124
Komark fruit,12
Kiwi fruit,5
Beet Root,13
Grapes Blore blue,6
GrapesAnabi shahi,3
Grapes Dilkush,4
Guava Allahabad(Red),10
Cluster Beans Bunches,8
Cucumber white,7
Kashini (Ganike) Greens,2
Thiland Jelly,4
Pineapple juice,12
Thiland Juice,2
Mushroom Oyster,2
Onion medium,37
Baby corn cleaned,9
Onion Big,28
Onion small(Economy),39
Litchi Local,6
Sweet corn seeds,8
Capsicum,8
Chillies Green,13
Cauliflower(S),11
Cauliflower per Kg,12
Cherry Tomoto,7
Drumstik,10
Avare seed (FB seeds),14
Brucoli,9
Kakadi,12
Corriander Leave,4
Lime Pickles,232
Chow-Chow,9
Cucumber,5
Cucumber Nati,7
Cucumber Israle,10
Mango kalapadu,8
Mango thotapuri,5
Mango Neelam,5
Mango Dasheri,9
Litchi Taiwan/chaina,6
Straw Berry,6
Tender Coconut,8
Cucumber Ooty,6
Mangalore cucumber,10
Cluster Bean Local,12
Capsicum 1,11
Capsicum Red/Yellow,7
Berry Green,5
mango Pickles,279
Berry fruit Ooty,3
Berry Soft,3
Orange juice,22
Chikkadikai cleaned,6
Grapesh Tash ganesh,5
Onion samber,22
Peas Delhi,9
Peas local,14
Mango,6
Papaya Red lady,8
Papaya sola,5
Pineapple,24
Pepper,13
Stevia powder,153
Coconut oil 500 ml,351
Beans Fruit,5
Beans cleaned,5
Brinjal long,7
Brinjal (W),5
Banana karpura,11
Banana Rasabale,8
Banana Nendra,7
Indian Black globe Grapes,6
Papaya red indian,7
Double Beans,11
Ground nut Local,5
Curry leave,3
Dhantu greens,3
Mint Leaves,3
Chikkadikai Round,11
Cowpea Long,12
Coconut (B),14
Coconut (M),7
Ginger ooty,41
Ginger New,36
Herali kai,7
Double Beans seeds,6
Spring Onion,44
Spring Onion(Cleaned),20
Sweet corn,5
Orange,16
Orange Nagpura,14
Orange Ooty,17
Orange Australia,16
Tender Coco packed,8
Fruit Juice Tailand,4
G.oil Net rich 500 ml,191
Chikadi kai,12
knol-khol,9
Arive greens,4
Eggs,4
Net rich 5 lt oil,190
Mineral water 1 lt,11
Berry Delhi,6
Ber fruit/Bore fruit,9
Cherry fruit,6
Cherry kashmir,3
Washington gala apple,12
Chilles small cleaned (C.B.P),7
Times Rose berry,5
Peas Dharwad,5
Peas Ooty,7
Pumpkin Ash,12
Pumpkin Red,5
Grapes Dry 250gm,3
Grapes Dry 100gm,4
Jack fruit,9
Pomegranate Ganesh,20
Papaya nati,10
Papaya Taiwan,11
Tamarind Paste 450 gm,149
Sun safal Tin 15 lt,10
Sungold oil 5 lt packet,243
Beans,9
Beans Nati,9
Beans Ring,9
Pomegranate A.raktha,13
Amla,14
Banana pachabale,6
Banana Yellaki,5
Banana chandra,9
Orange malt,23
Sweet corn cleaned,7
Sweet corn seeds spok,5
Tomoto,7
Thogari kai,5
Ground nut oil 1 lt,232
G.nut oil Premium1 lt,168
G.nut oil Rice Bron 1 lt,362
Chakota greens,4
Onion pack,44
Potato pack,37
Cabbage,10
Cabbage Red,8
Indian kinora apple,20
South Africa Gala apple,19
Selari,9
Coconut (OS),8
Basale Greens,2
BaleDindu (Banana stem),11
Raddish Red,39
Sponge Gourd,11
Coconut (S),14
Snake Gourd,12
Snake Gourd(S),10
Mango Sendura,6
Mango Badami,326
Mango Alphans,7
Mango Raspuri,9
Chicco(Sapota) rapined,7
Byladha Hannu,9
Sham gadde,8
Carrot ooty,5
Carrot Delhi,9
Carrot Nati,5
Menthya Greens,2
Cowpea Local,11
Ground nut Hybrid,5
Ginger,32
Rumenia Mango,7
Grapes Flame,5
Grapes Krishna sharad,6
Grapes Crimson,6
Mango rathnagiri(red),7
Mango Alphans box,10
Mango sakkaregutti,11
Thinda,11
Dates Arebian,182
Pista,326
Tender Coconut(S),9
Kashini greens,2
Garlic,23
Garlic cleaned,39
Chain Berry,4
Y.Bananan T.N.,8
Maize,8
Greens Sabbakki,3
Palak Greens,2
Parvala,10
Cashew nut,280
Dates,220
Apple Chaina Delicious,12
Dry dates,345
Pumpkin Japan,7
Potato(M),18
Potato(B),26
Potato(S),28
Apple Golden delicious,20
Apple Green smith,16
Apple hazarath palli,11
Rice Bran 5 lt,334
N.Juice 200 ml,2
Pomegranate Juice,24
Brahmi amla juice,3
Safal deep 500 ml,11
Ground nut oil 5 lt,204
Sungold oil 5 lt,199
Orange South Africa,21
Pomegranate,14
Pomegranate Bhagav,15
Grapes Red globe,5
Grapes T.S.,6
Cauliflower(B),12
Cabbage chaina,11
Apple juice,18
Litchi Juice,5
Parsley,7
Leeks,13
Baby corn,7
Cauliflower(M),6
Chillies Bajji yagani,7
Chilakarive green,11
G. nut Golden oil 1 lt,211
G. nut oil safal deep1 lt,258
G. nut oil Rice 1 lt,265
Jukani,8
Mango Raw,7
Mango Raw Amblet,8
Lime Local,18
Little gourd,9
Ladys finger,6
Tamrind Chatisghar,5
Tender Coconut(M),13
Mango Amarpalli,8
Mango Kesar,5
Mango Langada,10
Grapes Sonika,5
Grapes Rose,6
Grapes Sharad,5
Onion flowers,37
Letteus Greens,4
Bale hoovu(B.flower),14
